,ano,temperatura_media_anual(°C),country_code
671,1965,26.69,KHM
672,1965,24.13,CMR
673,1965,2.46,CAN
674,1965,23.23,CPV
675,1965,24.95,CAF
676,1965,28.52,TCD
677,1965,12.43,CHL
678,1965,10.99,CHN
679,1965,23.4,COL
680,1965,24.86,COM
681,1965,24.21,COC
682,1965,23.8,COD
683,1965,19.41,CRI
684,1965,25.08,CIV
685,1965,11.61,HRV
686,1965,24.35,CUB
687,1965,19.5,CYP
688,1965,5.79,CZE
689,1965,6.93,DNK
690,1965,24.94,DOM
691,1965,19.59,ECU
692,1965,22.1,EGY
693,1965,25.46,SLV
694,1965,24.08,ERI
695,1965,4.42,EST
696,1965,19.07,ETH
697,1965,25.26,FJI
698,1965,2.02,FIN
699,1965,10.44,FRA
700,1965,24.82,GAB
701,1965,14.02,GEO
702,1965,7.42,DEU
703,1965,26.6,GHA
704,1965,16.45,GRC
705,1965,18.73,GTM
706,1965,24.76,GIN
707,1965,26.22,GNB
708,1965,27.15,GUY
709,1965,25.8,HTI
710,1965,25.51,HND
711,1965,9.29,HUN
712,1965,2.9,ISL
713,1965,23.75,IND
714,1965,26.49,IDN
715,1965,17.14,IRN
716,1965,22.93,IRQ
717,1965,8.74,IRL
718,1965,19.37,ISR
719,1965,12.1,ITA
720,1965,24.82,JAM
721,1965,13.21,JPN
722,1965,20.11,JOR
723,1965,6.27,KAZ
724,1965,21.78,KEN
725,1965,7.35,PRK
726,1965,12.69,KOR
727,1965,25.41,KWT
728,1965,4.46,KGZ
729,1965,26.44,LAO
730,1965,4.25,LVA
731,1965,18.31,LBN
732,1965,25.59,LBR
733,1965,20.25,LBY
734,1965,5.39,LTU
735,1965,7.62,LUX
736,1965,20.52,MWI
737,1965,26.78,MYS
738,1965,17.98,MLT
739,1965,21.36,MEX
740,1965,9.41,MDA
741,1965,0.17,MNG
742,1965,15.66,MNE
743,1965,17.97,MAR
744,1965,23.07,MOZ
745,1965,17.74,NAM
746,1965,17.44,NPL
747,1965,8.44,NLD
748,1965,11.82,NZL
749,1965,26.33,NIC
750,1965,28.03,NER
751,1965,26.5,NGA
752,1965,2.99,NOR
753,1965,24.93,OMN
754,1965,21.53,PAK
755,1965,25.11,PLW
756,1965,25.52,PAN
757,1965,23.7,PNG
758,1965,22.79,PRY
759,1965,19.51,PER
760,1965,26.38,PHL
761,1965,6.4,POL
762,1965,15.61,PRT
763,1965,27.72,QAT
764,1965,8.19,ROU
765,1965,-1.74,RUS
766,1965,19.0,RWA
767,1965,25.75,SAU
768,1965,26.37,SEN
769,1965,10.47,SRB
770,1965,26.43,SYC
771,1965,26.06,SLE
772,1965,26.93,SGP
773,1965,6.39,SVK
774,1965,7.18,SVN
775,1965,25.94,SLB
776,1965,27.06,SOM
777,1965,17.4,ZAF
778,1965,14.13,ESP
779,1965,25.07,LKA
780,1965,27.88,SDN
781,1965,26.34,SUR
782,1965,3.15,SWE
783,1965,5.6,CHE
784,1965,18.14,SYR
785,1965,22.16,TWN
786,1965,8.43,TJK
787,1965,22.31,TZA
788,1965,27.04,THA
789,1965,,TLS
790,1965,26.89,TGO
791,1965,25.06,TON
792,1965,18.11,TUN
793,1965,12.95,TUR
794,1965,16.54,TKM
795,1965,27.78,TUV
796,1965,21.77,UGA
797,1965,7.94,UKR
798,1965,8.29,GBR
799,1965,10.92,USA
800,1965,17.36,URY
801,1965,13.06,UZB
802,1965,24.7,VUT
803,1965,25.76,VEN
804,1965,26.34,VNM
805,1965,28.33,YEM
806,1965,20.28,ZMB
807,1965,19.44,ZWE
808,1966,17.67,AFG
809,1966,15.18,ALB
810,1966,19.87,DZA
811,1966,21.69,AGO
812,1966,-13.88,ATA
813,1966,16.4,ARG
814,1966,6.86,ARM
815,1966,17.09,AUS
816,1966,7.12,AUT
817,1966,15.11,AZE
818,1966,26.28,BHR
819,1966,26.13,BGD
820,1966,25.6,BRB
821,1966,6.71,BLR
822,1966,9.32,BEL
823,1966,25.28,BLZ
824,1966,26.68,BEN
825,1966,19.56,BOL
826,1966,8.7,BIH
827,1966,21.34,BWA
828,1966,23.08,BRA
829,1966,9.49,BGR
830,1966,27.91,BFA
831,1966,26.71,MMR
832,1966,27.22,KHM
833,1966,24.36,CMR
834,1966,2.97,CAN
835,1966,23.8,CPV
836,1966,24.77,CAF
837,1966,28.65,TCD
838,1966,11.95,CHL
839,1966,11.31,CHN
840,1966,23.91,COL
841,1966,25.63,COM
842,1966,24.52,COC
843,1966,24.06,COD
844,1966,19.6,CRI
845,1966,25.46,CIV
846,1966,12.54,HRV
847,1966,24.49,CUB
848,1966,20.78,CYP
849,1966,7.26,CZE
850,1966,7.05,DNK
851,1966,25.24,DOM
852,1966,19.54,ECU
853,1966,22.53,EGY
854,1966,25.42,SLV
855,1966,24.37,ERI
856,1966,4.26,EST
857,1966,19.25,ETH
858,1966,25.43,FJI
859,1966,0.84,FIN
860,1966,11.24,FRA
861,1966,25.08,GAB
862,1966,14.16,GEO
863,1966,8.45,DEU
864,1966,27.01,GHA
865,1966,17.38,GRC
866,1966,18.35,GTM
867,1966,24.96,GIN
868,1966,26.61,GNB
869,1966,27.21,GUY
870,1966,27.77,HTI
871,1966,25.0,HND
872,1966,10.78,HUN
873,1966,3.54,ISL
874,1966,24.33,IND
875,1966,26.6,IDN
876,1966,18.13,IRN
877,1966,23.79,IRQ
878,1966,9.26,IRL
879,1966,19.94,ISR
880,1966,12.46,ITA
881,1966,24.88,JAM
882,1966,13.93,JPN
883,1966,21.33,JOR
884,1966,5.37,KAZ
885,1966,21.97,KEN
886,1966,7.73,PRK
887,1966,12.9,KOR
888,1966,26.29,KWT
889,1966,4.59,KGZ
890,1966,26.83,LAO
891,1966,5.13,LVA
892,1966,18.41,LBN
893,1966,25.53,LBR
894,1966,20.59,LBY
895,1966,6.6,LTU
896,1966,8.74,LUX
897,1966,21.19,MWI
898,1966,26.69,MYS
899,1966,17.95,MLT
900,1966,20.88,MEX
901,1966,11.21,MDA
902,1966,-0.65,MNG
903,1966,16.22,MNE
904,1966,17.86,MAR
905,1966,23.81,MOZ
906,1966,17.92,NAM
907,1966,18.08,NPL
908,1966,9.21,NLD
909,1966,12.19,NZL
910,1966,26.64,NIC
911,1966,27.74,NER
912,1966,26.88,NGA
913,1966,2.49,NOR
914,1966,25.22,OMN
915,1966,21.61,PAK
916,1966,25.43,PLW
917,1966,25.68,PAN
918,1966,24.08,PNG
919,1966,22.84,PRY
920,1966,19.38,PER
921,1966,26.78,PHL
922,1966,8.08,POL
923,1966,15.51,PRT
924,1966,27.45,QAT
925,1966,9.75,ROU
926,1966,-1.86,RUS
927,1966,18.36,RWA
928,1966,26.05,SAU
929,1966,27.35,SEN
930,1966,11.47,SRB
931,1966,26.81,SYC
932,1966,26.44,SLE
933,1966,27.18,SGP
934,1966,8.13,SVK
935,1966,7.99,SVN
936,1966,26.16,SLB
937,1966,28.72,SOM
938,1966,17.92,ZAF
