,Area,Item,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Andorra,LULUCF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Angola,All sectors with LULUCF,4746.5966,4942.4502,5153.5742,5583.6806,6048.8118,6315.222400000001,6872.3418,6905.4408,7375.2192,8091.7642,8694.2426,8947.376,9116.027,9150.8984,9279.414,8847.666,9143.8934,9340.968,9644.1146,9910.977,9999.1896,10144.2628,10285.6342,10448.8148,10660.1748,10783.4764,10490.7448,10265.6532,10078.0924,168772.95549999998,168279.1691,166498.8884,174254.3285,191519.6825,220142.4708,233455.6957,226327.5495,251430.0047,245877.28949999998,227282.2898,275834.15,278086.737,290515.63430000003,301225.6252,301839.6972,278842.983,281507.2108,286787.3562,293521.9732,314541.9896,311696.0346,315397.2464,314219.25580000004,332724.1766,322396.3292,318839.5423,327465.1598,293667.8152,305865.0922,280023.7124,281002.4191
22,Angola,All sectors without LULUCF,4746.5966,4942.4502,5153.5742,5583.6806,6048.8118,6315.222400000001,6872.3418,6905.4408,7375.2192,8091.7642,8694.2426,8947.376,9116.027,9150.8984,9279.414,8847.666,9143.8934,9340.968,9644.1146,9910.977,9999.1896,10144.2628,10285.6342,10448.8148,10660.1748,10783.4764,10490.7448,10265.6532,10078.0924,115348.8719,114855.0855,113074.8048,120830.24489999999,138095.5989,166721.4337,177924.4759,174588.8257,188768.1945,186098.2193,178494.6192,176718.7576,180295.9076,190336.1337,196997.7628,195618.4258,178768.2136,181370.1244,183330.8068,184936.8192,202242.8436,202279.8381,204354.7596,207391.0986,227157.1336,216573.5232,217340.1899,216845.3408,197956.6034,199505.424,180520.9884,183169.0777
23,Angola,LULUCF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53424.0836,53424.0836,53424.0836,53424.0836,53424.0836,53421.037,55531.2198,51738.7238,62661.81019999999,59779.0702,42639.6706,99115.3924,97790.8294,100179.5006,104227.8624,109125.2714,100074.76939999999,100137.0864,103456.5494,108585.154,112299.14600000001,109416.1964,111042.4868,106828.1572,105567.043,105822.806,101499.3524,110619.819,95711.2118,106359.6682,99502.724,97833.3414
24,Anguilla,All sectors with LULUCF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.7346,108.9186,116.4837,138.9156,139.4932,140.0856,147.6598,147.9358,162.6618,169.993,184.8268,199.525,199.4074,214.4237,250.91340000000002,265.8519,295.2877,310.0616,310.1512,302.6652,310.291,295.7874,295.89599999999996,244.7816,288.88530000000003,318.3168,318.1431,296.1488,303.2622,309.8602,284.0936,281.2546
25,Anguilla,All sectors without LULUCF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.7346,108.9186,116.4837,138.9156,139.4932,140.0856,147.6598,147.9358,162.6618,169.993,184.8268,199.525,199.4074,214.4237,250.91340000000002,265.8519,295.2877,310.0616,310.1512,302.6652,310.291,295.7874,295.89599999999996,244.7816,288.88530000000003,318.3168,318.1431,296.1488,303.2622,309.8602,284.0936,281.2546
26,Anguilla,LULUCF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Annex I countries,All sectors with LULUCF,2731161.5156,2811058.3332,2853665.8,2854521.1178,2895648.328,2949350.4636,3023917.8198,3063008.0084,3077623.7774,3095725.395,3166878.2539999997,3218821.825,3292141.4784,3370971.65,3444323.4194,3435011.6254,3403588.164,3418847.7308,3413659.875,3452088.5922,3456458.8242,3469091.3142,3447666.8486,3501751.2962,3485427.6028,3461926.1097999997,3417210.2248,3382874.0527999997,3373713.0266,37173545.8802,36520057.7506,34774338.7024,34223676.7898,33617722.3987,33759116.1338,34193341.2851,33933859.0035,33741453.2099,33891996.1597,34463736.3037,33745353.85,33742657.9023,34153055.7686,34496427.1926,34402072.2015,34549457.2345,34697468.646699995,34078414.6469,31828158.1324,32769748.0652,31979481.338299997,31671815.3971,31375273.1977,31106359.0846,30801660.9901,31715932.6678,32158224.798100002,32615022.8609,31920970.5096,29127717.4199,30580629.0243
28,Annex I countries,All sectors without LULUCF,2731161.5156,2811058.3332,2853665.8,2854521.1178,2895648.328,2949350.4636,3023917.8198,3063008.0084,3077623.7774,3095725.395,3166878.2539999997,3218821.825,3292141.4784,3370971.65,3444323.4194,3435011.6254,3403588.164,3418847.7308,3413659.875,3452088.5922,3456458.8242,3469091.3142,3447666.8486,3501751.2962,3485427.6028,3461926.1097999997,3417210.2248,3382874.0527999997,3373713.0266,39158439.2572,38504664.482,36734476.3826,36184366.9212,35579013.6683,35717564.7192,36110087.1575,35879890.426699996,35656009.8263,35820000.4019,36403729.354100004,36158354.3014,36145185.9289,36544063.0094,36905394.8208,36818084.2333,36950675.936299995,37111805.083900005,36483589.043699995,34240199.8562,35181462.9068,35103654.0717,34785820.2393,34502621.9537,34221561.278799996,33925719.6479,33564863.887,34009863.7941,34453477.0341,33730185.557,30953289.7435,32424659.534500003
29,Annex I countries,LULUCF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4230541.6726,-4450039.145,-4867932.8782,-4893265.3292,-5132472.310799999,-5301823.4377999995,-5498483.3296,-5641385.7296,-5892195.8618,-5912624.7366,-5857947.1486,-6490907.3938,-6462489.9518,-6471779.3578,-6231869.7852,-6245127.8466,-6430967.8002,-6275816.1106,-6400678.5546,-6515185.3094,-6662034.954,-7307350.1654,-7419500.351,-7205546.892,-7300110.27,-7128974.5192,-6040138.529999999,-5879961.2702,-5853253.2214,-5616954.0878,-1825572.3236,-1844030.5102
